"","Rank","Airline","Country","Employees","Revenue"
"1",1,"American_Airlines","United States",126600,42207
"2",2,"Delta_Air_Lines","United States",86564,41244
"3",3,"Lufthansa","Germany",129424,40090
"4",4,"United_Continental_Holdings","United States",89800,37736
"5",6,"Jet_Airways","India",16015,35314
"6",7,"Air_France","France",84602,27495
"7",10,"IAG_International_Airlines_Group","United Kingdom",63994,25884
"8",11,"International_Consolidated_Airlines_Group_SA","United Kingdom",63994,25884
"9",12,"Emirates","United Arab Emirates",64768,22801
"10",13,"Southwest_Airlines","United States",56100,21171
"11",14,"China_Southern_Airlines","China",93132,18909
"12",15,"Air_China","China",77374,18349
"13",16,"ANA_Holdings","Japan",39243,16287
"14",17,"British_Airways","United Kindgom",43125,15735
"15",18,"China_Eastern_Airlines_Co","China",75277,15049
"16",19,"Air_Canada","Canada",27800,12516
"17",20,"Cathay_Pacific_Airways","Hong Kong",33200,12486
"18",21,"Qantas_Airways","Australia",30179,12108
"19",22,"Japan_Airlines_Co","Japan",32753,11892
"20",25,"Turkish_Airlines","Turkey",31510,10917
"21",26,"Qatar_Airways","Qatar",43113,10818
"22",27,"Singapore_Airlines","Singapore",14423,10746
"23",28,"Korean_Airlines","South Korea",20956,10101
"24",29,"Latam_Airlines","Chile",43095,9164
"25",30,"Aeroflot_Russian_Airlines","Russia",36600,9149
"26",31,"Hainan_Airlines_Co","China",24772,8863
"27",32,"Etihad_Airways","United Arab Emirates",26757,8360
"28",33,"Alaska_Air_Group","United States",23000,7933
"29",34,"Ryanair","Ireland",13026,7804
"30",35,"JetBlue_Airways_Corp","United States",18406,7015
"31",36,"Easyjet","United Kingdom",11628,6389
"32",37,"Thai_Airways","Thailand",22370,5616
"33",38,"Asiana_Airlines","South Korea",9125,5512
"34",39,"Swiss_International_Air_Lines","Switzerland",8564,5027
"35",40,"Scandinavian_Airlines","Sweden",10324,4916
"36",41,"Avianca","Panama",21061,4441
"37",43,"Garuda_Indonesia","Indonesia",16551,4177
"38",44,"Aéroports_de_Paris_SA","France",24178,4076
"39",45,"Thomas_Cook_Airlines","United Kindgom",2500,4025
"40",47,"Air_New_Zealand_Group_Lts","New Zealand",10890,3852
"41",48,"Virgin_Australia_Holdings","Australia",9800,3806
"42",49,"Norwegian_Air","Norway",5800,3742
"43",50,"Copa_Holdings_SA","Panama",8733,3720
"44",51,"Vietnam_Airlines_JSC","Vietnam",20902,3696
"45",53,"TUI_Airways_Limited","United Kingdom",12500,3497
"46",54,"WestJet_Airlines","Canada",11089,3467
"47",55,"TAP_Transportes_Aereos_Portugueses_SGPS_SA","Portugal",11019,3307
"48",56,"Air_India","India",20956,3300
"49",57,"Alitalia_Spa","Italy",12000,3268
"50",58,"Aeromexico","Mexico",14085,3251
"51",59,"SkyWest","United States",17000,3126
"52",60,"Finnair","Finland",5918,2894
"53",62,"Gol_Intelligent_Airlines_SA","Brazil",15261,2832
"54",63,"JSL_SA","Brazil",23100,2825
"55",64,"Interglobe_Aviation","India",12362,2772
"56",65,"Hawaiian_Airlines","United States",6900,2696
"57",66,"Spirit_Airlines","United States",6100,2648
"58",67,"Ethiopian_Airlines","Ethiopia",10176,2600
"59",68,"Wizz_Air","Switzerland",2725,2589
"60",69,"Philippine_Airlines","Philippines",6262,2574
"61",71,"EgyptAir","Egypt",2800,2419
"62",72,"Vueling_Airlines","Spain",3089,2394
"63",73,"AirAsia_Berhad","Malaysia",7620,2258
"64",74,"Jet2.com","United Kingdom",6322,2254
"65",75,"South_African_Airways","South Africa",10071,2139
"66",76,"El_Al_Israel_Airlines","Israel",6002,2097
"67",77,"Aer_Lingus","Ireland",4000,2095
"68",78,"Malaysia_Airlines","Malaysia",14000,2078
"69",79,"Shangong_Airlines","China",8680,2072
"70",81,"Juneyao_Airlines_Co","China",5832,1836
"71",82,"Air_Europa","Spain",2980,1826
"72",83,"Cargolux_Airlines_International_SA","Luxembourg",1389,1755
"73",84,"Allegiant_Travel_Co","United States",3752,1504
"74",86,"Pegasus_Hava_Tasimaciligi_A.S.","Turkey",5337,1468
"75",87,"Volga_Dnepr_Group","Russia",3500,1448
"76",88,"Icelandair","Iceland",2717,1419
"77",89,"Brussels_Airlines","Belgium",3400,1407
"78",90,"Condor","Germany",3400,1387
"79",91,"Republic_Airways_Holdings","United States",5581,1320
"80",92,"Aegean_Airlines","Greece",2493,1271
"81",93,"Spring_Airlines","China",5617,1271
"82",94,"Controladora_Vuela_Co_Avcn_SA_CV","Mexico",4761,1261
"83",95,"SunExpress_Deutschland","Turkey",3800,1220
"84",96,"Torghatten_ASA","Norway",7000,1178
"85",97,"Aviakompaniya_UTair_PAO","Russia",10000,1120
"86",98,"UTair_Aviakompaniya_OAO","Russia",10000,1120
"87",99,"Günes_Ekspres_Havacilik_A.S.","Turkey",3800,1087
"88",100,"Kenya_Airways","Kenya",3582,1053
