"Rank","Country","Airline","PassengerCount"
1,"Germany","Lufthansa",142.3
2,"Ireland","Ryanair",139.2
3,"United Kingdom","International_Airlines_Group",112.92
4,"France","Air_France",101.45
5,"United Kingdom","Easyjet",88.04
6,"Turkey","Turkish_Airlines",75.16
7,"Russia","Aeroflot_Group",55.71
8,"Norway","Norwegian_Air",37.34
9,"Hungary  ","Wizz_Air",33.81
10,"Sweden","Scandinavian_Airlines",30
11,"Turkey","Pegasus_Airlines",29.97
12,"Italy","Alitalia",21.49
13,"Russia","S7_Group",15.96
14,"Portugal","TAP_Air_Portugal",15.89
15,"Greece","Aegean_Airlines",10.83
16,"Finland","Finnair",13.28
17,"Spain","Air_Europa",10.6
18,"United Kingdom","Jet2.com",6.67
19,"United Kingdom","Flybe",8.725
20,"Russia","Ural_Airlines",9
21,"Poland  ","LOT_Polish_Airlines",6.89
22,"Czech Republic","SmartWings_Group",8.8
23,"Ukraine","Ukraine_International_Airlines",8.08
24,"Russia","UTair_Aviation",7.65
25,"United Kingdom","Virgin_Atlantic",5.2
26,"Romania","Blue_Air",3.59
27,"Spain","Volotea",6.57
28,"Russia","Nordwind_Airlines",4.92
29,"Russia","Azur_Air",4.24
30,"Iceland","Icelandair",4.14
31,"Latvia","AirBaltic",4.14
32,"Belarus","Belavia",2.745
33,"Iceland","WOW_Air",3.5
34,"Serbia","Air_Serbia",2.61
35,"Russia","Red_Wings_Airlines",2.62
36,"Romania","Tarom",2.4
37,"Azerbaijan","Azerbaijan_Airlines",0.47
38,"Croatia","Croatia_Airlines",2.17
40,"Russia","Pegas_Fly",2.02
41,"Luxembourg","Luxair",1.84
42,"Russia","Yamal_Airlines",1.97
44,"Russia","Royal_Flight",1.73
45,"Russia","NordStar",1.42
46,"Bulgaria","Bulgaria_Air",1.3
47,"Slovenia","Adria_Airways",1.2
48,"Russia","Nordavia",1.19
49,"Russia","I-Fly",1.13
50,"Poland","Enter_Air",1.12
51,"Greece","Ellinair",1.04
